id,id,대분류,중분류,소분류,브랜드,human_imputed,human_imputed_proba,헤어타입,형태,특징,용량,unit,종류,효과,구성,두피타입,human,향계열,세트구성,사용부위,피부타입,인증,색상,부가기능,재질,사용시간,단계,생균,섭취량,제품용량,섭취횟수,섭취방법,원료명(식약처고시),주원료,MSM,분자량,수,중량,단백질성분,맛,포장unit,매수,무첨가,충전시간,전원방식,전원,품목,세트unit,용도,자외선차단지수,성분,사용가능,평량,정수과정,세탁기유형,겹수,HCA,열량,무게,개당열량,진동,제품크기,주성분,사이즈,가로사이즈,유발성분,단계별,고정방식,소비전력,롤수,길이,칫솔모타입,칫솔종류,칫솔헤드크기,적용모델,작동방식,디자인,안전,모드,칫솔모형태,회전,사용기간,와이어굵기,흡수,편의기능,몸무게(키즈),출시,헤드수,헤드종류,충전방식,추가구성,날수,전자동세정&충전,면도방식,헤드무빙,면도망,트리머,면도날종류,상태표시등,면도날,트리머(헤드교체),유형,분유성분,출시년도
2475,3589,B002-C001-0002,B002-C002-0002,B002-C003-0011,B002-01023,남녀공용,0.928296328,모든모발용,스프레이형,세팅력,300ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,3590,B002-C001-0002,B002-C002-0002,B002-C003-0011,B002-01023,남녀공용,0.886057138,모든모발용,스프레이형,세팅력,300ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,3591,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01025,미성년자,0.579793572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478,3592,B002-C001-0002,B002-C002-0007,B002-C003-0038,B002-01026,남녀공용,0.579170346,,크림형,세팅력,60ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,3593,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-01027,남녀공용,0.907062352,모든모발용,스프레이형,고정력,150ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,3594,B002-C001-0002,B002-C002-0005,B002-C003-0027,B002-01028,남녀공용,0.685263336,,크림형,세팅력,60ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,3595,B002-C001-0002,B002-C002-0005,B002-C003-0027,B002-01028,남녀공용,0.691368341,,크림형,세팅력,60ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,3596,B002-C001-0002,B002-C002-0005,B002-C003-0027,B002-01028,미성년자,0.323922187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,3597,B002-C001-0002,B002-C002-0005,B002-C003-0027,B002-01028,남녀공용,0.875724494,모든모발용,스프레이형,분사력,95ml,2개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,3598,B002-C001-0002,B002-C002-0005,B002-C003-0027,B002-01028,미성년자,0.424803495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,3599,B002-C001-0002,B002-C002-0005,B002-C003-0027,B002-01028,미성년자,0.384128839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,3600,B002-C001-0002,B002-C002-0005,B002-C003-0027,B002-01028,미성년자,0.390443414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,3601,B002-C001-0002,B002-C002-0005,B002-C003-0027,B002-01028,미성년자,0.385447145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,3602,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-01030,미성년자,0.554842353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,3603,B002-C001-0002,B002-C002-0007,B002-C003-0040,B002-01030,미성년자,0.536111832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,3604,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01031,남녀공용,0.44777289,,브러쉬형,고정력,9ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,3605,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01031,남녀공용,0.968566597,모든모발용,스프레이형,세팅력,80ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,3606,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01031,성인남녀,0.322782755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,3607,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01031,미성년자,0.328515738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,3608,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01031,남녀공용,0.583043933,,,세팅력,70ml,1개,왁스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,3609,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01031,남녀공용,0.99168539,모든모발용,젤형,세팅력,420ml,1개,,,,,,,,페이스용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,3610,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01031,성인남녀,0.360792041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,3611,B002-C001-0002,B002-C002-0004,B002-C003-0020,B002-01033,미성년자,0.42620346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498,3612,B002-C001-0002,B002-C002-0004,B002-C003-0020,B002-01033,남녀공용,0.856202245,모든모발용,스프레이형,고정력,170ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,3613,B002-C001-0002,B002-C002-0004,B002-C003-0020,B002-01033,남녀공용,0.475161999,,크림형,세팅력,80ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,3614,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-01034,남녀공용,0.423467577,,,세팅력,95ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,3615,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-01034,남녀공용,0.672254622,,크림형,세팅력,80ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502,3616,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-01034,남녀공용,0.558519959,,크림형,세팅력,95ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,3617,B002-C001-0002,B002-C002-0003,B002-C003-0017,B002-01036,미성년자,0.481823236,,크림형,세팅력,95ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,3618,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01037,남녀공용,0.548024058,,크림형,세팅력,80ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,3619,B002-C001-0002,B002-C002-0009,B002-C003-0049,B002-01037,남녀공용,0.964918733,모든모발용,젤형,세팅력,60ml,3개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,3620,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01037,남녀공용,0.904401422,모든모발용,젤형,세팅력,60ml,3개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,3621,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-01038,성인남녀,0.375266612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,3622,B002-C001-0001,B002-C002-0001,B002-C003-0002,B002-01038,남녀공용,0.908989429,모든모발용,스프레이형,세팅력,263ml,1개,스프레이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,3623,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-01038,남녀공용,0.912663937,모든모발용,스프레이형,세팅력,263ml,1개,스프레이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,3624,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-01038,남녀공용,0.926511049,모든모발용,스프레이형,세팅력,263ml,1개,스프레이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,3625,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-01038,남녀공용,0.925113082,모든모발용,스프레이형,세팅력,263ml,1개,스프레이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,3626,B002-C001-0002,B002-C002-0003,B002-C003-0013,B002-01039,미성년자,0.560964584,,스프레이형,분사력,65ml,3개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,3627,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01040,남녀공용,0.711033523,,크림형,세팅력,80ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,3628,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01040,남녀공용,0.86813575,모든모발용,,고정력,,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,3629,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01040,미성년자,0.327476561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,3630,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01040,남녀공용,0.954881132,모든모발용,젤형,세팅력,60ml,3개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,3631,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01040,남녀공용,0.95903343,모든모발용,젤형,세팅력,60ml,3개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,3632,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01040,남녀공용,0.918883622,모든모발용,스프레이형,분사력,183ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,3633,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01040,미성년자,0.458087295,,,,110ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,3634,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01040,미성년자,0.393082321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,3635,B002-C001-0001,B002-C002-0001,B002-C003-0005,B002-01041,남녀공용,0.932549298,모든모발용,스프레이형,고정력,253ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522,3636,B002-C001-0001,B002-C002-0001,B002-C003-0002,B002-01042,미성년자,0.416261822,,,,110ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,3637,B002-C001-0002,B002-C002-0003,B002-C003-0017,B002-01043,미성년자,0.548180938,,크림형,세팅력,80ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,3638,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-01045,미성년자,0.386966437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,3639,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-01045,남녀공용,0.922272027,모든모발용,스프레이형,세팅력,263ml,1개,스프레이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,3640,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-01045,남녀공용,0.575849354,,크림형,세팅력,80ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,3641,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-01045,미성년자,0.464005262,,,고정력,12ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528,3642,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-01045,미성년자,0.55762738,,,,15ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529,3643,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-01045,미성년자,0.570919514,,크림형,세팅력,75ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,3644,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-01046,남녀공용,0.937289298,모든모발용,스프레이형,세팅력,210ml,1개,,,,,,,,,모든피부용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,3645,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-01046,미성년자,0.429684877,,젤형,세팅력,100g,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,3646,B002-C001-0002,B002-C002-0007,B002-C003-0039,B002-01046,미성년자,0.465928376,,젤형,세팅력,100g,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,3647,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-01046,미성년자,0.777758241,,,부드러운,75ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,3648,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-01046,남녀공용,0.811659873,모든모발용,로션형,향,150ml,1개,,,,,,,헤어미스트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,3649,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-01048,남녀공용,0.931612074,모든모발용,스프레이형,볼륨효과,200ml,1개,,,,,,,헤어미스트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536,3650,B002-C001-0002,B002-C002-0004,B002-C003-0019,B002-01049,남녀공용,0.957246542,모든모발용,리퀴드형,세팅력,250ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,3651,B002-C001-0002,B002-C002-0004,B002-C003-0019,B002-01049,남녀공용,0.60142684,,젤형,세팅력,50ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,3652,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,남녀공용,0.775317729,모든모발용,스프레이형,분사력,250ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,3653,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,미성년자,0.623539329,,,,113ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,3654,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,미성년자,0.650830925,,,,113ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,3655,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,미성년자,0.596444726,,펌프형,세팅력,150ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,3656,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,미성년자,0.561162412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,3657,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,남녀공용,0.46206677,,젤형,세팅력,150ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,3658,B002-C001-0002,B002-C002-0004,B002-C003-0023,B002-01049,남녀공용,0.675642192,,크림형,세팅력,100ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,3659,B002-C001-0002,B002-C002-0004,B002-C003-0021,B002-01049,미성년자,0.463810742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,3660,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,미성년자,0.580523193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,3661,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,남녀공용,0.492178112,,리퀴드형,세팅력,8ml,2개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,3662,B002-C001-0002,B002-C002-0004,B002-C003-0019,B002-01049,남녀공용,0.902969003,모든모발용,스프레이형,분사력,100ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,3663,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,미성년자,0.699493825,,펌프형,고정력,50ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,3664,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,남녀공용,0.530369341,,스프레이형,세팅력,200ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,3665,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,남녀공용,0.875701487,모든모발용,크림형,세팅력,150ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,3666,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,남녀공용,0.855032444,모든모발용,크림형,고정력,150ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2553,3667,B002-C001-0002,B002-C002-0004,B002-C003-0019,B002-01049,남녀공용,0.96242106,모든모발용,스프레이형,세팅력,200ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,3668,B002-C001-0002,B002-C002-0004,B002-C003-0021,B002-01049,미성년자,0.531533957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2555,3669,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,미성년자,0.535580218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,3670,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-01049,미성년자,0.549651265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,3671,B002-C001-0002,B002-C002-0004,B002-C003-0021,B002-01049,남녀공용,0.655433655,,리퀴드형,세팅력,200ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,3672,B002-C001-0002,B002-C002-0004,B002-C003-0019,B002-01049,미성년자,0.431589365,,,,,,왁스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559,3673,B002-C001-0002,B002-C002-0007,B002-C003-0038,B002-01050,미성년자,0.614445627,,,,100ml,1개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
